TEAM_NAME,GP,W,L,W_PCT,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,SEASON,TOP3_PTS,TOP3_STL,TOP3_BLK,TOP3_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,PACE,made_playoffs,FG3A_RATE,won_championship
Detroit Pistons,82,17,65,0.207,3244,7140,0.454,934,2659,0.351,1623,2106,0.771,3480,1884,1237.0,574,308,9045,-674.0,2022-23,1087.6666666666667,66.33333333333333,17.666666666666668,0.427,109.9,117.8,-7.9,99.88,0,0.3724089635854342,0
Golden State Warriors,82,44,38,0.537,3538,7393,0.479,1363,3540,0.385,1314,1655,0.794,3657,2446,1336.0,588,324,9753,148.0,2022-23,1267.0,62.0,37.0,0.4643333333333333,115.1,113.4,1.7,102.54,1,0.4788313269308805,0
Houston Rockets,82,22,60,0.268,3329,7287,0.457,856,2619,0.327,1567,2078,0.754,3795,1835,1332.0,600,374,9081,-644.0,2022-23,1244.0,47.666666666666664,40.666666666666664,0.4643333333333332,110.5,118.6,-8.1,99.74,0,0.3594071634417455,0
Indiana Pacers,82,35,47,0.427,3444,7345,0.469,1112,3030,0.367,1535,1944,0.79,3407,2213,1224.0,631,478,9535,-261.0,2022-23,1118.3333333333333,70.0,17.333333333333332,0.4443333333333333,113.8,117.1,-3.3,101.68,0,0.4125255275697753,0
LA Clippers,82,44,38,0.537,3370,7060,0.477,1041,2734,0.381,1533,1962,0.781,3545,1959,1167.0,580,364,9314,41.0,2022-23,944.6666666666666,50.333333333333336,59.333333333333336,0.5833333333333334,114.0,113.6,0.5,98.84,1,0.3872521246458923,0
Los Angeles Lakers,82,43,39,0.524,3516,7298,0.482,885,2558,0.346,1691,2182,0.775,3748,2072,1154.0,526,378,9608,47.0,2022-23,1039.3333333333333,61.666666666666664,16.0,0.4263333333333333,113.9,113.2,0.7,101.92,1,0.3505069882159495,0
Memphis Grizzlies,82,51,31,0.622,3585,7551,0.475,985,2807,0.351,1432,1954,0.733,3823,2135,1116.0,680,473,9587,323.0,2022-23,1155.0,71.33333333333333,12.666666666666666,0.4333333333333333,114.7,110.7,4.0,101.5,1,0.3717388425374122,0
Miami Heat,82,44,38,0.537,3215,6991,0.46,980,2852,0.344,1567,1885,0.831,3329,1955,1106.0,655,243,8977,-26.0,2022-23,1266.3333333333333,60.333333333333336,29.666666666666668,0.463,112.3,112.8,-0.5,96.76,1,0.4079530825346874,0
Milwaukee Bucks,82,58,24,0.707,3504,7411,0.473,1217,3306,0.368,1364,1837,0.743,3988,2115,1199.0,521,403,9589,298.0,2022-23,1496.0,56.0,89.66666666666667,0.521,114.3,110.9,3.4,101.45,1,0.4460936445823775,0
Minnesota Timberwolves,82,42,40,0.512,3515,7167,0.49,997,2731,0.365,1467,1942,0.755,3435,2145,1258.0,657,444,9494,-3.0,2022-23,1279.3333333333333,85.0,76.33333333333333,0.545,113.3,113.1,0.2,101.55,1,0.3810520440909725,0
New Orleans Pelicans,82,42,40,0.512,3447,7180,0.48,899,2468,0.364,1585,2000,0.793,3583,2122,1196.0,681,337,9378,155.0,2022-23,1277.0,59.666666666666664,44.333333333333336,0.4893333333333333,113.8,112.0,1.9,99.58,0,0.3437325905292479,0
New York Knicks,82,47,35,0.573,3444,7328,0.47,1037,2930,0.354,1589,2087,0.761,3821,1880,1065.0,527,340,9514,240.0,2022-23,1370.0,56.0,19.0,0.474,117.0,114.2,2.8,97.75,1,0.3998362445414847,0
Oklahoma City Thunder,82,40,42,0.488,3533,7590,0.465,995,2797,0.356,1572,1944,0.809,3580,2002,1070.0,676,341,9633,89.0,2022-23,1483.6666666666667,90.66666666666669,43.666666666666664,0.5043333333333333,114.2,113.2,1.0,101.94,0,0.3685111989459815,0
Orlando Magic,82,34,48,0.415,3323,7074,0.47,883,2551,0.346,1607,2050,0.784,3546,1906,1236.0,603,382,9136,-210.0,2022-23,1253.0,74.66666666666667,27.333333333333332,0.4753333333333333,111.3,113.7,-2.3,99.66,0,0.360616341532372,0
Philadelphia 76ers,82,54,28,0.659,3347,6870,0.487,1035,2675,0.387,1719,2058,0.835,3356,2063,1121.0,635,389,9448,354.0,2022-23,1349.3333333333333,86.66666666666667,64.33333333333333,0.4913333333333333,117.0,112.7,4.4,97.44,1,0.3893740902474527,0
